date,version,usage
"Feb 20, 2015",4.1.5.RELEASE,43
"Dec 30, 2014",4.1.4.RELEASE,40
"Dec 09, 2014",4.1.3.RELEASE,26
"Nov 11, 2014",4.1.2.RELEASE,26
"Oct 01, 2014",4.1.1.RELEASE,25
"Sep 04, 2014",4.1.0.RELEASE,24
"Dec 30, 2014",4.0.9.RELEASE,24
"Nov 11, 2014",4.0.8.RELEASE,14
"Sep 04, 2014",4.0.7.RELEASE,20
"Jul 08, 2014",4.0.6.RELEASE,40
"May 20, 2014",4.0.5.RELEASE,43
"Apr 30, 2014",4.0.4.RELEASE,9
"Mar 27, 2014",4.0.3.RELEASE,34
"Feb 19, 2014",4.0.2.RELEASE,38
"Jan 28, 2014",4.0.1.RELEASE,20
"Dec 12, 2013",4.0.0.RELEASE,33
"Dec 21, 2016",3.2.18.RELEASE,31
"May 06, 2016",3.2.17.RELEASE,11
"Dec 17, 2015",3.2.16.RELEASE,16
"Oct 15, 2015",3.2.15.RELEASE,11
"Jun 30, 2015",3.2.14.RELEASE,15
"Dec 30, 2014",3.2.13.RELEASE,20
"Nov 11, 2014",3.2.12.RELEASE,15
"Sep 04, 2014",3.2.11.RELEASE,10
"Jul 16, 2014",3.2.10.RELEASE,33
"May 20, 2014",3.2.9.RELEASE,44
"Feb 19, 2014",3.2.8.RELEASE,41
"Jan 28, 2014",3.2.7.RELEASE,18
"Dec 12, 2013",3.2.6.RELEASE,30
"Nov 07, 2013",3.2.5.RELEASE,37
"Aug 06, 2013",3.2.4.RELEASE,64
"May 20, 2013",3.2.3.RELEASE,100
"Mar 13, 2013",3.2.2.RELEASE,55
"Jan 24, 2013",3.2.1.RELEASE,25
"Dec 13, 2012",3.2.0.RELEASE,28
"Jan 23, 2013",3.1.4.RELEASE,58
"Oct 31, 2012",3.1.3.RELEASE,61
"Jul 07, 2012",3.1.2.RELEASE,114
"Feb 16, 2012",3.1.1.RELEASE,159
"Dec 13, 2011",3.1.0.RELEASE,104
"Dec 23, 2011",3.0.7.RELEASE,58
"Aug 19, 2011",3.0.6.RELEASE,55
"Oct 20, 2010",3.0.5.RELEASE,216
"Aug 19, 2010",3.0.4.RELEASE,54
"Jun 15, 2010",3.0.3.RELEASE,45
"Apr 02, 2010",3.0.2.RELEASE,34
"Feb 19, 2010",3.0.1.RELEASE,19
"Dec 17, 2009",3.0.0.RELEASE,32
"Sep 09, 2011",2.5.6.SEC03,8
"Jun 18, 2010",2.5.6.SEC02,17
"Apr 22, 2009",2.5.6.SEC01,29
"Nov 02, 2008",2.5.6,81
"Jun 23, 2008",2.5.5,27
"Apr 28, 2008",2.5.4,20
"Apr 07, 2008",2.5.3,8
"Mar 06, 2008",2.5.2,17
"Jan 10, 2008",2.5.1,14
"Dec 25, 2007",2.5,7
"Mar 09, 2007",1.2.9,2
"Aug 24, 2006",1.2.8,1
"May 10, 2006",1.2.7,4
"Dec 23, 2005",1.2.6,2
"Dec 23, 2005",1.2.5,3
"Dec 23, 2005",1.2.4,1
"Dec 23, 2005",1.2.3,1
"Dec 23, 2005",1.2.2,1
"Dec 23, 2005",1.2.1,1
