0,1
License,LGPL 2.1
Categories,Object/Relational Mapping
Tags,hibernatepersistencerelationalmapping
Ranking,#109 in MvnRepository (See Top Artifacts) #1 in Object/Relational Mapping
Used By,"3,992 artifacts"
