date,version,usage
"Mar 14, 2017",5.1.5.Final,32
"Jan 19, 2017",5.1.4.Final,50
"Nov 24, 2016",5.1.3.Final,31
"Sep 19, 2016",5.1.2.Final,23
"Aug 12, 2016",5.1.1.Final,30
"Feb 10, 2016",5.1.0.Final,175
"Jan 19, 2017",5.0.12.Final,80
"Sep 19, 2016",5.0.11.Final,31
"Aug 01, 2016",5.0.10.Final,56
"Mar 15, 2016",5.0.9.Final,76
"Feb 17, 2016",5.0.8.Final,20
"Jan 13, 2016",5.0.7.Final,59
"Dec 17, 2015",5.0.6.Final,37
"Dec 03, 2015",5.0.5.Final,27
"Nov 18, 2015",5.0.4.Final,29
"Oct 28, 2015",5.0.3.Final,36
"Sep 30, 2015",5.0.2.Final,36
"Sep 03, 2015",5.0.1.Final,33
"Aug 20, 2015",5.0.0.Final,28
"Aug 05, 2015",5.0.0.CR4,16
"Jul 29, 2015",5.0.0.CR3,20
"Jul 08, 2015",5.0.0.CR2,19
"May 28, 2015",5.0.0.CR1,15
"Apr 30, 2015",5.0.0.Beta2,14
"Mar 31, 2015",5.0.0.Beta1,12
"Aug 06, 2015",4.3.11.Final,260
"May 15, 2015",4.3.10.Final,108
"Apr 15, 2015",4.3.9.Final,65
"Jan 06, 2015",4.3.8.Final,123
"Oct 30, 2014",4.3.7.Final,93
"Jul 17, 2014",4.3.6.Final,99
"Apr 02, 2014",4.3.5.Final,101
"Mar 03, 2014",4.3.4.Final,40
"Feb 27, 2014",4.3.3.Final,14
"Feb 27, 2014",4.3.2.Final,24
"Jan 22, 2014",4.3.1.Final,55
"Dec 16, 2013",4.3.0.Final,37
"Dec 05, 2013",4.3.0.CR2,11
"Nov 20, 2013",4.3.0.CR1,12
"Oct 09, 2013",4.3.0.Beta5,12
"Sep 12, 2013",4.3.0.Beta4,10
"May 29, 2013",4.3.0.Beta3,11
"May 02, 2013",4.3.0.Beta2,11
"Apr 03, 2013",4.3.0.Beta1,9
"Oct 23, 2015",4.2.21.Final,79
