date,version,usage
"Mar 02, 2014",2.3.2,368
"Dec 28, 2013",2.3.1,259
"Nov 14, 2013",2.3.0,210
"Oct 26, 2013",2.3.0-rc1,34
"Jun 11, 2014",2.2.4,13
"Aug 23, 2013",2.2.3,322
"May 27, 2013",2.2.2,296
"May 04, 2013",2.2.1,72
"Apr 23, 2013",2.2.0,137
"Apr 18, 2013",2.2.0-rc1,10
"May 03, 2013",2.1.5,43
"Feb 26, 2013",2.1.4,145
"Jan 19, 2013",2.1.3,68
"Dec 04, 2012",2.1.2,109
"Nov 11, 2012",2.1.1,103
"Oct 10, 2012",2.1.0,74
"Sep 06, 2012",2.0.6,31
"Jul 27, 2012",2.0.5,37
"Jun 27, 2012",2.0.4,47
"May 15, 2012",2.0.2,57
"Apr 24, 2012",2.0.1,48
"Mar 25, 2012",2.0.0,65
"Mar 23, 2012",2.0.0-RC3,14
"Mar 06, 2012",2.0.0-RC2,15
"Feb 19, 2012",2.0.0-RC1,11
